{167.5, 1.3628654757431764}
{168., 1.3712636133688556}
{168.5, 1.3665256879862422}
{169., 1.3528489777909303}
{169.5, 1.3426964206203258}
{170., 1.3456524911840895}
{170.5, 1.3589051797020721}
{171., 1.3700971933458317}
{171.5, 1.369174279070589}
{172., 1.3569621535477663}
{172.5, 1.3444688712088186}
{173., 1.3433911162905745}
{173.5, 1.354756777166778}
{174., 1.3678769378631577}
{174.5, 1.3708559320291827}
{175., 1.3610461791772352}
{175.5, 1.3472304784792337}
{176., 1.342212110351149}
{176.5, 1.3507588823916588}
{177., 1.3647814713799953}
{177.5, 1.3714246551570832}
{178., 1.3647847307949823}
{178.5, 1.3507583779705175}
{179., 1.34220659355571}
{179.5, 1.347238384778753}
{180., 1.3610498054553948}
{180.5, 1.3708517984294675}
{181., 1.3678801455837202}
{181.5, 1.3547597408057188}
{182., 1.343391878694125}
{182.5, 1.3444681926198734}
{183., 1.356966261575636}
{183.5, 1.3691804812561588}
{184., 1.3700913399460506}
{184.5, 1.3589053227134031}
{185., 1.345657295885752}
{185.5, 1.3426929688560834}
{186., 1.352848002900208}
{186.5, 1.366525872425505}
{187., 1.3712659114814563}
{187.5, 1.3628612595661096}
{188., 1.3488069156550118}
{188.5, 1.3420626701933966}
{189., 1.3490287453791812}
{189.5, 1.3630937553928424}
{190., 1.371298800681616}
{190.5, 1.3663306177773467}
{191., 1.3525910465116593}
{191.5, 1.3426166530866326}
{192., 1.3458316325572866}
{192.5, 1.3591565640267351}
{193., 1.3701969220453205}
{193.5, 1.369040757666796}
{194., 1.3567015215415585}
{194.5, 1.3443254090268164}
{195., 1.343503422988085}
{195.5, 1.3550170377846702}
{196., 1.3680460859756745}
{196.5, 1.3707781515187292}
{197., 1.3608038365059494}
{197.5, 1.3470398647410189}
{198., 1.3422479439226853}
{198.5, 1.3510041340732277}
{199., 1.3650035951908148}
{199.5, 1.3714257752177097}
{200., 1.364567132993649}
{200.5, 1.3505238870348015}
{201., 1.3421777407978999}
{201.5, 1.34743413981797}
{202., 1.361295642045588}
{202.5, 1.370923119780111}
{203., 1.367707682872223}
{203.5, 1.3544969010341834}
{204., 1.34328180692871}
{204.5, 1.3446162962193453}
{205., 1.35721924491715}
{205.5, 1.3693099095505559}
{206., 1.3699878364634657}
{206.5, 1.3586410056039062}
{207., 1.345480917300228}
{207.5, 1.3427759681043159}
{208., 1.3530958956019625}
{208.5, 1.3667139773369876}
{209., 1.3712226242670926}
{209.5, 1.3626275526461127}
{210., 1.3485909069820425}
{210.5, 1.3420629938190465}
{211., 1.3492584574792952}
{211.5, 1.363332684033752}
{212., 1.3713313120588833}
{212.5, 1.3661353273141117}
{213., 1.352349378854759}
{213.5, 1.342553612535484}
{214., 1.3460036147890448}
{214.5, 1.3594172635697255}
{215., 1.3703038994831656}
{215.5, 1.368892893028219}
{216., 1.3564445911539507}
{216.5, 1.3441912067230124}
{217., 1.3436164909360633}
{217.5, 1.355276179461708}
{218., 1.3682086542034577}
{218.5, 1.3707036107813866}
{219., 1.3605493354708331}
{219.5, 1.3468388872613248}
{220., 1.3422975010414884}
{220.5, 1.351239418579458}
{221., 1.3652090128143652}
{221.5, 1.3714187980672607}
{222., 1.3643450181413104}
{222.5, 1.3502836909445017}
{223., 1.3421421972552285}
{223.5, 1.347639845011677}
{224., 1.3615387107527397}
{224.5, 1.3709839920966629}
{225., 1.3675385509968683}
{225.5, 1.3542406587858515}
{226., 1.343178373691051}
{226.5, 1.344767843607647}
{227., 1.3574817404997415}
{227.5, 1.3694431448219544}
{228., 1.3698716806302849}
{228.5, 1.35838856788103}
{229., 1.345319791985812}
{229.5, 1.342853787416966}
{230., 1.3533553081218932}
{230.5, 1.3669077767221696}
{231., 1.3711771355190894}
{231.5, 1.3623910555430814}
{232., 1.3483765360756708}
{232.5, 1.3420771199240353}
{233., 1.349479827916427}
{233.5, 1.3635589833942952}
{234., 1.3713608297750013}
{234.5, 1.3659315448379357}
{235., 1.3520945133326734}
{235.5, 1.342484987808127}
{236., 1.3461855808943786}
{236.5, 1.3596650721823589}
{237., 1.3703941933919672}
{237.5, 1.3687519697903618}
{238., 1.356178908629068}
{238.5, 1.3440512836732856}
{239., 1.343740762944604}
{239.5, 1.355532448010715}
{240., 1.368365871657168}
{240.5, 1.370620882527733}
{241., 1.360300072398043}
{241.5, 1.3466504401972181}
{242., 1.3423409217257616}
{242.5, 1.351487377728108}
{243., 1.365424786719446}
{243.5, 1.3714047069687432}
{244., 1.3641285485021257}
{244.5, 1.3500579060380473}
{245., 1.3421193414962205}
{245.5, 1.3478482263267129}
{246., 1.361790302005818}
{246.5, 1.3710506946557346}
{247., 1.3673566883212869}
{247.5, 1.3539886516728847}
{248., 1.343085540079069}
{248.5, 1.3449159497948702}
{249., 1.3577420634752086}
{249.5, 1.3695722333080682}
{250., 1.369752955513817}
{250.5, 1.3581278343565324}
{251., 1.3451537727013618}
{251.5, 1.3429458873989666}
{252., 1.3536030185355838}
{252.5, 1.3670855213748947}
{253., 1.3711325577953164}
{253.5, 1.3621455573467456}
{254., 1.348156876246244}
{254.5, 1.342088627506517}
{255., 1.3497076766129417}
{255.5, 1.3637848665344086}
{256., 1.3713782446010905}
{256.5, 1.3657329931250095}
{257., 1.3518487873999794}
{257.5, 1.3424220892576075}
{258., 1.3463728427110953}
{258.5, 1.359922483215926}
{259., 1.370488528812102}
{259.5, 1.3685998932668224}
{260., 1.3559245965897417}
{260.5, 1.343926272871466}
{261., 1.3438598348830961}
{261.5, 1.3557979418158248}
{262., 1.368526820962908}
{262.5, 1.3705318284042256}
{263., 1.3600508873885322}
{263.5, 1.346463648741303}
{264., 1.3423966318430975}
{264.5, 1.3517301478199866}
{265., 1.3656301281078396}
{265.5, 1.3713931181421988}
{266., 1.3638994261987345}
{266.5, 1.349822012780461}
{267., 1.342099815534973}
{267.5, 1.3480538627197147}
{268., 1.362026349653593}
{268.5, 1.3711030103460904}
{269., 1.3671783777998219}
{269.5, 1.3537277755009733}
{270., 1.3429861688016258}
{270.5, 1.3450770615108976}
{271., 1.3579966182203362}
{271.5, 1.3696911340490567}
{272., 1.3696361269860695}
{272.5, 1.3578663557020434}
{273., 1.3449924281803542}
{273.5, 1.3430384128911284}
{274., 1.3538586117635847}
{274.5, 1.3672689940588023}
{275., 1.3710746121026696}
{275.5, 1.3619082767913429}
{276., 1.3479510233322105}
{276.5, 1.342105563137547}
{277., 1.3499430600112547}
{277.5, 1.364017239702798}
{278., 1.3713988351780004}
{278.5, 1.3655275903842736}
{279., 1.3516093882825952}
{279.5, 1.342371423822899}
{280., 1.3465554947922664}
{280.5, 1.3601784768878724}
{281., 1.3705815562548795}
{281.5, 1.3684424457383169}
