{0., 0}
{59.5, 0.4325652855196309}
{60., 0.4335906725206169}
{60.5, 0.43740718652826516}
{61., 0.43598367131148863}
{61.5, 0.4361186312973707}
{62., 0.4401225705622731}
{62.5, 0.4392512680751175}
{63., 0.43855209523807115}
{63.5, 0.44253073551980954}
{64., 0.442344858535828}
{64.5, 0.44092587788991594}
{65., 0.44466052280162804}
{65.5, 0.44524128884929953}
{66., 0.4432632709676657}
{66.5, 0.4465450824471072}
{67., 0.447915543295108}
{67.5, 0.44558030635943446}
{68., 0.4482261130540576}
{68.5, 0.450348450736422}
{69., 0.4478807142541226}
{69.5, 0.44974687074607644}
{70., 0.4525246604095722}
{70.5, 0.45015894981518134}
{71., 0.4511545879196944}
{71.5, 0.45443770564121033}
{72., 0.45239902884693606}
{72.5, 0.45249240791277356}
{73., 0.45608919552040944}
{73.5, 0.4545779781344945}
{74., 0.4538030632373392}
{74.5, 0.45749158762047004}
{75., 0.4566668659126527}
{75.5, 0.4551187851968837}
{76., 0.4586659718318056}
{76.5, 0.4586344624633709}
{77., 0.45646693498785706}
{77.5, 0.45964239360519077}
{78., 0.4604490075102592}
{78.5, 0.45786045438507583}
{79., 0.46045950897387466}
{79.5, 0.4620840560450879}
{80., 0.45930475087697775}
{80.5, 0.4611585292030986}
{81., 0.46351585934608375}
{81.5, 0.46079023226470683}
{82., 0.46178628471467453}
{82.5, 0.46473282139900973}
{83., 0.4623001607960573}
{83.5, 0.4623861205092395}
{84., 0.4657292819880258}
{84.5, 0.46380650070996876}
{85., 0.46300062292871697}
{85.5, 0.46651365342756457}
{86., 0.4652770358010666}
{86.5, 0.46366274764806975}
{87., 0.4671023815656179}
{87.5, 0.46667528100938777}
{88., 0.46440001314741824}
{88.5, 0.46752288188834007}
{89., 0.46796484110977077}
{89.5, 0.46522532981937753}
{90., 0.46781170916542697}
{90.5, 0.4691142095937223}
{91., 0.46614318446001246}
{91.5, 0.46800860723080145}
{92., 0.47009511617758387}
{92.5, 0.4671436335840472}
{93., 0.46816010585421297}
{93.5, 0.4708907563091011}
{94., 0.4682068778747113}
{94.5, 0.4683089429494231}
