{89.5, 0.0037159086458564672}
{90., 0.008413685667468949}
{90.5, 0.0022415124651255594}
{91., 0}
{91.5, 0}
{92., 0}
{92.5, 0.006130586912020286}
{93., 0.007696254219424548}
{93.5, 0}
{94., 0}
{94.5, 0}
{95., 0}
{95.5, 0.007737554525305839}
{96., 0.006065520837805045}
{96.5, 0}
{97., 0}
{97.5, 0}
{98., 0.0023494974813441797}
{98.5, 0.008429084987871961}
{99., 0.003631523201327264}
{99.5, 0}
{100., 0}
{100.5, 0}
{101., 0.005087549123473775}
{101.5, 0.008160484016488029}
{102., 0.0005697413926339762}
{102.5, 0}
{103., 0}
{103.5, 0}
{104., 0.007091790554764273}
{104.5, 0.006949153601061573}
{105., 0}
{105.5, 0}
{106., 0}
{106.5, 0.0008593186909223549}
{107., 0.008223847915699117}
{107.5, 0.00487501231489318}
{108., 0}
{108.5, 0}
{109., 0}
{109.5, 0.0038763193664117794}
{110., 0.008409389263547992}
{110.5, 0.002082261221013457}
{111., 0}
{111.5, 0}
{112., 0}
{112.5, 0.006248003357489237}
{113., 0.007636462749193496}
{113.5, 0}
{114., 0}
{114.5, 0}
{115., 0}
{115.5, 0.007804756124893762}
{116., 0.005955228642952752}
{116.5, 0}
{117., 0}
{117.5, 0}
{118., 0.0025190674003715417}
{118.5, 0.008442237918630389}
{119., 0.003479169865001762}
{119.5, 0}
{120., 0}
{120.5, 0}
{121., 0.005220636173017099}
{121.5, 0.008119179590579704}
{122., 0.0003874661350729042}
{122.5, 0}
{123., 0}
{123.5, 0}
{124., 0.00717911444644839}
{124.5, 0.006856392137791651}
{125., 0}
{125.5, 0}
{126., 0}
{126.5, 0.0010399865847649159}
{127., 0.008259639675577607}
{127.5, 0.004737250730434501}
{128., 0}
{128.5, 0}
{129., 0}
{129.5, 0.004026673576877589}
{130., 0.008391324579103354}
{130.5, 0.0019095714762876726}
{131., 0}
{131.5, 0}
{132., 0}
{132.5, 0.0063568227222957335}
{133., 0.0075656468801161576}
{133.5, 0}
{134., 0}
{134.5, 0}
{135., 0}
{135.5, 0.007864536544030434}
{136., 0.005836312407513934}
{136.5, 0}
{137., 0}
{137.5, 0}
{138., 0.002685395524104601}
{138.5, 0.008449033974195715}
{139., 0.0033204597870264757}
{139.5, 0}
{140., 0}
{140.5, 0}
{141., 0.005350378641873559}
{141.5, 0.008072499965564122}
{142., 0.00020099664442556963}
{142.5, 0}
{143., 0}
{143.5, 0}
{144., 0.007262944864554545}
{144.5, 0.006759184328161695}
{145., 0}
{145.5, 0}
{146., 0}
{146.5, 0.001219630893077567}
{147., 0.008291847097295727}
{147.5, 0.004595982852515758}
{148., 0}
{148.5, 0}
{149., 0}
{149.5, 0.0041753184862476445}
{150., 0.008369753100935514}
{150.5, 0.0017343953496743508}
{151., 0}
{151.5, 0}
{152., 0}
{152.5, 0.006463443201433185}
{153., 0.007491670541351989}
{153.5, 0}
{154., 0}
{154.5, 0}
{155., 0}
{155.5, 0.007921795426210188}
{156., 0.00571480045589509}
{156.5, 0}
{157., 0}
{157.5, 0}
{158., 0.002850706431965305}
{158.5, 0.008453137901165506}
{159., 0.0031598619317580504}
{159.5, 0}
{160., 0}
{160.5, 0}
{161., 0.00547828025851772}
{161.5, 0.008023109567956776}
{162., 0}
{162.5, 0}
{163., 0}
{163.5, 0}
{164., 0.007344351680442575}
{164.5, 0.006659419920902307}
{165., 0}
{165.5, 0}
{166., 0}
{166.5, 0.001398500528160283}
{167., 0.008321357300408994}
{167.5, 0.004452579234885403}
{168., 0}
{168.5, 0}
{169., 0}
{169.5, 0.004322405911555462}
{170., 0.00834547986856814}
{170.5, 0.0015578182432288811}
{171., 0}
{171.5, 0}
{172., 0}
{172.5, 0.006567907297756963}
{173., 0.007415167530205622}
{173.5, 0}
{174., 0}
{174.5, 0}
{175., 0}
{175.5, 0.00797647027814845}
{176., 0.005591091943670383}
{176.5, 0}
{177., 0}
{177.5, 0}
{178., 0.0030144441074286543}
{178.5, 0.008454401865703263}
{179., 0.0029975637528267063}
{179.5, 0}
{180., 0}
{180.5, 0}
{181., 0.00560397022034278}
{181.5, 0.007970862188624483}
{182., 0}
{182.5, 0}
{183., 0}
{183.5, 0}
{184., 0.007423174172538332}
{184.5, 0.006557097420875423}
{185., 0}
{185.5, 0}
{186., 0}
{186.5, 0.0015762130382169781}
{187., 0.008348096063695878}
{187.5, 0.004307158850340732}
{188., 0}
{188.5, 0}
{189., 0}
{189.5, 0.004467546728918158}
{190., 0.008318400526666304}
{190.5, 0.0013799377121376335}
{191., 0}
{191.5, 0}
{192., 0}
{192.5, 0.006669817119102843}
{193., 0.007335966118826946}
{193.5, 0}
{194., 0}
{194.5, 0}
{195., 0}
{195.5, 0.008028217787921592}
{196., 0.005464967159816043}
{196.5, 0}
{197., 0}
{197.5, 0}
{198., 0.003176467318880021}
{198.5, 0.008452659756099181}
{199., 0.002833396698636415}
{199.5, 0}
{200., 0}
{200.5, 0}
{201., 0.005727384127923925}
{201.5, 0.007915778814484652}
{202., 0}
{202.5, 0}
{203., 0}
{203.5, 0}
{204., 0.007499326387417352}
{204.5, 0.006452270671302475}
{205., 0}
{205.5, 0}
{206., 0}
{206.5, 0.0017524498928504018}
{207., 0.008371920030288214}
{207.5, 0.0041597134610477215}
{208., 0}
{208.5, 0}
{209., 0}
{209.5, 0.004610456896237831}
{210., 0.00828831038203473}
